repo_name,path,f0_
Majoolr/ethereum-libraries,TokenLib/truffle/contracts/ThrowProxy.sol,ThrowProxy(address _target);execute()
winsvega/solidity,test/libsolidity/syntaxTests/types/address/contract_payable_fallback_to_payable_address.sol,f()
DecentralizedEscrow/pre-ico,contracts/simplified_DEST.sol,"mul(uint256 a, uint256 b);div(uint256 a, uint256 b);sub(uint256 a, uint256 b);add(uint256 a, uint256 b);balanceOf(address who);transfer(address to, uint256 value);transfer(address _to, uint256 _value);balanceOf(address _owner);allowance(address owner, address spender);transferFrom(address from, address to, uint256 value);approve(address spender, uint256 value);transferFrom(address _from, address _to, uint256 _value);approve(address _spender, uint256 _value);allowance(address _owner, address _spender);price(uint _v);withdraw();finish()"
orbro/eth-enablers,decentGovernment.sol,Government();lendGovernmentMoney(address buddy);function();totalDebt();totalPayedOut();investInTheSystem();inheritToNextGeneration(address nextGeneration);getCreditorAddresses();getCreditorAmounts()
OR13/car2go,contracts/Transmute/EventStore.sol,"EventStore();getVersion();emitEvent(string _type, address _address, uint _uint, string _string);getType(uint eventId);getCreated(uint eventId);getAddressValue(uint eventId);getUIntValue(uint eventId);getStringValue(uint eventId)"
stevejaxon/ethereum-tutorials,contracts/exploitable/HoneyPot.sol,HoneyPot();put();get()
dmozzy/TimeClock,contracts/TimeClock.sol,getNextPaymentDate();contracteesSize();purchase(string description);update();contracteeWithdraw(uint index);contractorWithdraw();calculatedPaymentInterval()
pipermerriam/ethereum-alarm-clock,contracts/Scheduler/BaseScheduler.sol,""
ConsenSys/truffle,packages/decoder/test/current/contracts/WireTest.sol,"inherited(uint[2] memory);inheritedReturn();danger();overriddenReturn();notImplemented();redHerring(RedHerring memory);emitStuff(Triple memory p, address[2] memory precompiles, string[] memory strings);moreStuff(WireTest notThis, uint[] memory bunchOfInts);globalTest(GlobalStruct memory s, GlobalEnum e);danger();indexTest(uint a, uint b, string memory c, string memory d, uint e);libraryTest(string memory it);ambiguityTest();unambiguityTest();anonymousTest();returnsStuff();overriddenReturn();boom();extrasTestSome();extrasTestNone(address test);emitEvent(string calldata it);emitUnambiguousEvent();run()"
stevejaxon/ethereum-tutorials,contracts/ContractCallerProxy.sol,ContractCallerProxy(address _target);execute()
winsvega/solidity,test/libsolidity/syntaxTests/fallback/pure_modifier.sol,""
SwapyNetwork/swapy-exchange-protocol,test/TestSwapyExchange_actions.sol,shouldThrow(bool result);testUserCanCreateOfferWithoutVersion();testUserCanCreateOfferWithVersion();testUserCannotCreateOfferWithAnInvalidVersion();testUnitValueAndFundsMustMatch();testUserCanInvest();testOnlyInvestorCanCancelInvestment();testInvestorCanCancelInvestment();testOnlyOwnerCanRefuseInvestment();testOwnerCanRefuseInvestment();testOnlyOwnerCanWithdrawFunds();testOwnerCanWithdrawFunds();testOnlyInvestorCanPutOnSale();testInvestorCanPutOnSale();testOnlyInvestorCanRemoveOnSale();testInvestorCanRemoveOnSale();testUserCanBuyAsset();testOnlyBuyerCanCancelPurchase();testBuyerCanCancelPurchase();testOnlyInvestorCanRefusePurchase();testInvestorCanRefusePurchase();testOnlyInvestorCanAcceptSale();testInvestorCanAcceptSale();testOnlyOwnerCanReturnInvestment();testReturnValuesAndFundsMustMatch();testOwnerCanReturnInvestment()
winsvega/solidity,test/libsolidity/syntaxTests/nameAndTypeResolution/197_integer_boolean_and.sol,""
crypto-coder/Tokens,Token_Contracts/contracts/ExponentialDecayingTokenFunction.sol,"ExponentialDecayingTokenFunction();getFunctionType();executeDecayFunction(uint256 _amount, int256 _rangeLength, int256 _distanceInRange, uint256 _startPercent, uint256 _endPercent);oldExecuteDecayFunction(uint256 _amount, int256 _rangeLength, int256 _distanceInRange, uint256 _startPercent, uint256 _endPercent)"
ethereum/solidity,test/libsolidity/syntaxTests/constructor/constructer_internal_function_abstract.sol,""
delneg/cryptogrip-contracts,tokensale.sol,"CryptoGripInitiative(uint tokenTotalAmount, uint startTime, uint endTime, address admin);transfer(address _to, uint _value);transferFrom(address _from, address _to, uint _value);burn(uint _value);burnFrom(address _from, uint256 _value);Whitelist(address _owner, address _sale);accept(address a, uint amountInWei);setSale(address sale_);getCap(address _user);contributorCap(address contributor);eligible(address contributor, uint amountInWei);eligibleTestAndIncrement(address contributor, uint amountInWei);saleEnded();saleStarted();publicSaleStarted();setHaltSale(bool halt);buy(address recipient);sendETHToMultiSig(uint value);finalizeSale();emergencyDrain(ERC20 anyToken);debugBuy()"
ethereum/solidity,test/libsolidity/ABIJson/internal_constructor.sol,""
winsvega/solidity,test/libsolidity/syntaxTests/parsing/single_function_param_trailing_comma.sol,""
bobsummerwill/solidity,test/libsolidity/syntaxTests/parsing/single_function_param_trailing_comma.sol,""
BeBlockTech/Anemoi,Master/Contracts/presale.sol,"safeAdd(uint256 x, uint256 y);safeSubtract(uint256 x, uint256 y);safeMult(uint256 x, uint256 y);Anemoi();setWhiteList(address _whitelisted);removeWhiteList(address _whitelisted);finalize()"
BeBlockTech/Anemoi,Test/Presale/presale.sol,"safeAdd(uint256 x, uint256 y);safeSubtract(uint256 x, uint256 y);safeMult(uint256 x, uint256 y);Anemoi();setWhiteList(address _whitelisted);removeWhiteList(address _whitelisted);finalize()"
Braveno/cosigner,cosigner-ethereum-token-storage/SolidityContracts/V4/StorageEther.sol,"deposit(address to);internalTransfer();balanceOf(address owner);deleteContract(uint8[] sigV, bytes32[] sigR, bytes32[] sigS);topUp()"
EMAXio/cosigner,cosigner-ethereum-token-storage/SolidityContracts/V4/StorageEther.sol,"deposit(address to);internalTransfer();balanceOf(address owner);deleteContract(uint8[] sigV, bytes32[] sigR, bytes32[] sigS);topUp()"
EMAXio/heimdal,cosigner-ethereum-token-storage/SolidityContracts/V4/StorageEther.sol,"deposit(address to);internalTransfer();balanceOf(address owner);deleteContract(uint8[] sigV, bytes32[] sigR, bytes32[] sigS);topUp()"
mothershipcx/contracts,etherscan/MultiSigWallet.sol,"MultiSigWallet(address[] _owners, uint _required);addOwner(address owner);removeOwner(address owner);replaceOwner(address owner, address newOwner);changeRequirement(uint _required);submitTransaction(address destination, uint value, bytes data);confirmTransaction(uint transactionId);revokeConfirmation(uint transactionId);executeTransaction(uint transactionId);isConfirmed(uint transactionId);addTransaction(address destination, uint value, bytes data);getConfirmationCount(uint transactionId);getTransactionCount(bool pending, bool executed);getOwners();getConfirmations(uint transactionId);getTransactionIds(uint from, uint to, bool pending, bool executed)"
axic/ethereum-tokenescrow,tokenescrow.sol,"balanceOf(address _address);transfer(address _to, uint _value);setOwner(address _owner);TokenEscrow();create(address token, uint tokenAmount, uint price, address seller, address buyer, address recipient);create(address token, uint tokenAmount, uint price, address seller, address buyer);kill()"
misrab/gethools,testdata/imp2.sol,b()
ethereum/solidity,test/libsolidity/syntaxTests/functionTypes/inline_array_with_bound_function_mixed.sol,f(uint a);f()
ethereum/solidity,test/libsolidity/semanticTests/array/function_array_cross_calls.sol,f(function();test();e();f();g();h();htwo()
sonm-io/token,contracts/PresaleToken.sol,"PresaleToken(address _tokenManager, address _escrow);buyTokens(address _buyer);burnTokens(address _owner);balanceOf(address _owner);setPresalePhase(Phase _nextPhase);withdrawEther();setCrowdsaleManager(address _mgr)"
